location_id,current_date,forecast_date,current_temp_c,forecast_temp_c,difference_temp_c,comparison,load_process_dt
"Bangkok, Thailand",2024-05-27,2024-05-27,29.3,28.7,0.6000000000000014,Higher,2025-02-13 21:28:44
"Bangkok, Thailand",2024-05-27,2024-05-28,29.3,28.7,0.6000000000000014,Higher,2025-02-13 21:28:44
"Bangkok, Thailand",2024-05-27,2024-05-29,29.3,27.7,1.6000000000000014,Higher,2025-02-13 21:28:44
"Chiang Mai, Thailand",2024-05-27,2024-05-27,26.2,25.0,1.1999999999999993,Higher,2025-02-13 21:28:44
"Chiang Mai, Thailand",2024-05-27,2024-05-28,26.2,24.9,1.3000000000000007,Higher,2025-02-13 21:28:44
"Chiang Mai, Thailand",2024-05-27,2024-05-29,26.2,24.8,1.3999999999999986,Higher,2025-02-13 21:28:44
"Phuket, Thailand",2024-05-27,2024-05-27,28.2,26.7,1.5,Higher,2025-02-13 21:28:44
"Phuket, Thailand",2024-05-27,2024-05-28,28.2,27.3,0.8999999999999986,Higher,2025-02-13 21:28:44
"Phuket, Thailand",2024-05-27,2024-05-29,28.2,27.6,0.5999999999999979,Higher,2025-02-13 21:28:44
"Pattaya, Thailand",2024-05-27,2024-05-27,26.9,28.1,-1.2000000000000028,Lower,2025-02-13 21:28:44
"Pattaya, Thailand",2024-05-27,2024-05-28,26.9,27.6,-0.7000000000000028,Lower,2025-02-13 21:28:44
"Pattaya, Thailand",2024-05-27,2024-05-29,26.9,27.5,-0.6000000000000014,Lower,2025-02-13 21:28:44
"Hat Yai, Thailand",2024-05-27,2024-05-27,25.4,25.3,0.09999999999999787,Higher,2025-02-13 21:28:44
"Hat Yai, Thailand",2024-05-27,2024-05-28,25.4,26.7,-1.3000000000000007,Lower,2025-02-13 21:28:44
"Hat Yai, Thailand",2024-05-27,2024-05-29,25.4,26.6,-1.2000000000000028,Lower,2025-02-13 21:28:44
